# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Thu, 24 Aug 2023 03:08:56 +0200
#
# IP	number of (black)lists
#
185.224.128.142	12
185.224.128.141	11
171.25.193.78	9
51.89.153.112	9
103.251.167.20	9
42.236.74.122	9
185.224.128.187	9
185.129.62.62	9
38.97.116.244	8
180.101.88.247	8
49.247.25.198	8
218.92.0.56	8
166.70.207.2	8
167.94.138.50	8
189.6.45.130	8
162.247.74.217	8
171.25.193.25	8
167.86.94.107	8
218.92.0.24	8
218.92.0.27	8
61.177.172.140	8
167.94.138.126	8
43.163.219.169	8
218.92.0.118	8
183.230.229.65	8
41.216.47.138	7
162.247.74.206	7
89.234.157.254	7
144.172.73.16	7
165.227.85.21	7
218.92.0.34	7
218.92.0.31	7
119.4.250.94	7
45.95.146.59	7
141.148.84.47	7
186.67.248.5	7
218.92.0.76	7
36.67.197.52	7
171.25.193.77	7
218.92.0.107	7
218.92.0.108	7
185.220.101.8	7
80.82.77.139	7
61.177.172.136	7
218.146.13.72	7
196.12.203.248	7
185.220.100.254	7
189.7.17.61	7
211.253.10.96	7
185.100.87.174	7
185.220.101.55	7
185.130.44.108	7
185.220.101.47	7
35.230.148.14	7
172.104.11.4	7
167.94.146.55	7
167.94.146.58	7
162.247.74.27	7
93.174.95.106	7
123.58.205.65	7
171.25.193.235	7
171.25.193.20	7
218.92.0.29	7
218.92.0.22	7
218.92.0.25	7
162.247.74.7	7
167.248.133.188	7
162.142.125.217	7
185.241.208.204	7
221.213.129.46	7
71.6.135.131	7
185.220.101.52	7
218.92.0.112	7
218.92.0.113	7
201.99.120.13	7
123.51.229.128	7
201.163.162.179	7
167.94.145.53	7
165.227.228.72	7
1.235.198.19	7
60.174.192.240	7
167.248.133.127	7
185.246.188.67	7
162.247.73.192	7
185.243.218.110	7
167.94.145.58	7
128.199.99.204	6
182.72.142.62	6
119.195.89.240	6
161.35.50.200	6
43.153.97.99	6
45.119.9.158	6
45.189.223.122	6
80.82.77.33	6
134.209.77.114	6
43.131.30.179	6
171.244.42.244	6
162.247.74.204	6
128.201.78.253	6
187.218.23.85	6
43.131.244.252	6
79.104.0.82	6
129.226.214.79	6
70.88.3.29	6
45.95.146.78	6
45.95.146.76	6
198.98.61.41	6
152.228.164.249	6
190.202.124.93	6
66.240.236.119	6
